User date;Vehicle date;Latitude;Longitude;Height;Vibración;SourceGPS;network;httpresponse;lastconnection;Rumbo (º);Velocidad (km/h);Calidad GPS;disp_stat;Distancia módem (km);Horas módem (h);Contacto;Dentro de una parcela;Estado;Contaminación (%);cmb_prddelay;Rendimiento (t/ha);Peso (remolque) (t);Carga;Peso acumulado (t);Superficie acumulada (ha);Rendimiento medio (t/ha);cmb_state;Caudal de producto (t/h);Revoluc. cinta (rpm);cmb_acc_weigth;Incli. ade-atr (º);Incli. d-i (º);f_impMayor;e_extbxApp;inc_state;f_impMinor
08/09/2024 7:16:04;08/09/2024 7:16:04;36,98163429;-6,12589843;53,7800903320313;0,77;1;1;0;0;172,1;1,0;GPS Fijo (SPS);9;661;299,1;Encendido;Encendido;Conectado, parado;;;;;;;;;;;;;;;;;;
08/09/2024 7:16:16;08/09/2024 7:16:16;36,98158365;-6,1259527;51,887451171875;0,64;1;1;0;0;146,6;2,2;GPS Fijo (SPS);9;661;299,1;Encendido;Encendido;Conectado, trabajando;;;;;;;;;;;;;;;;;;
08/09/2024 7:16:28;08/09/2024 7:16:28;36,98154368;-6,12602183;57,2115478515625;0,69;1;1;0;0;184,1;2,2;GPS Fijo (SPS);9;661;299,1;Encendido;Encendido;Conectado, trabajando;;;;;;;;;;;;;;;;;;
08/09/2024 7:16:39;08/09/2024 7:16:39;36,98150838;-6,12611287;51,443603515625;0,81;1;1;0;0;245,6;5,0;GPS Fijo (SPS);9;661;299,1;Encendido;Encendido;Conectado, trabajando;;;;;;;;;;;;;;;;;;
08/09/2024 7:16:49;08/09/2024 7:16:49;36,98153;-6,12619045;64,4164428710938;0,73;1;1;0;0;170,8;1,2;GPS Fijo (SPS);9;661;299,1;Encendido;Encendido;Conectado, parado;;;;;;;;;;;;;;;;;;
08/09/2024 7:17:01;08/09/2024 7:17:01;36,98147847;-6,12621427;48,580810546875;0,83;1;1;200;1725772614;26,1;1,8;GPS Fijo (SPS);9;661;299,1;Encendido;Encendido;Conectado, trabajando;;;;;;;;;;;;;;;;;;
08/09/2024 7:17:13;08/09/2024 7:17:13;36,98146421;-6,12628013;59,4956665039063;0,87;1;1;200;1725772614;171,2;3,5;GPS Fijo (SPS);9;661;299,1;Encendido;Encendido;Conectado, trabajando;;;;;;;;;;;;;;;;;;
08/09/2024 7:17:24;08/09/2024 7:17:24;36,98140668;-6,12642368;47,8677978515625;0,78;1;1;200;1725772614;216,3;3,6;GPS Fijo (SPS);9;661;299,1;Encendido;Encendido;Conectado, trabajando;;;;;;;;;;;;;;;;;;
08/09/2024 7:17:36;08/09/2024 7:17:36;36,98129692;-6,12631801;57,22705078125;0,78;1;1;200;1725772614;262,9;1,8;GPS Fijo (SPS);9;661;299,1;Encendido;Encendido;Conectado, trabajando;;;;;;;;;;;;;;;;;;
08/09/2024 7:17:49;08/09/2024 7:17:49;36,98130216;-6,12644911;46,1176147460938;0,63;1;1;200;1725772614;186,3;2,0;GPS Fijo (SPS);9;662;299,1;Encendido;Encendido;Conectado, trabajando;;;;;;;;;;;;;;;;;;
