User date;Vehicle date;Latitude;Longitude;Height;Vibración;SourceGPS;network;httpresponse;lastconnection;Rumbo (º);Velocidad (km/h);Calidad GPS;cmb_state;Caudal de producto (t/h);Revoluc. cinta (rpm);cmb_acc_weigth;Incli. ade-atr (º);Incli. d-i (º);f_impMayor;e_extbxApp;inc_state;f_impMinor;disp_stat;Distancia módem (km);Horas módem (h);Contacto;Dentro de una parcela;Estado;Contaminación (%);cmb_prddelay;Rendimiento (t/ha);Peso (remolque) (t);Carga;Peso acumulado (t);Superficie acumulada (ha);Rendimiento medio (t/ha)
09/09/2024 7:03:48;09/09/2024 7:03:48;36,952162;-6,088159666;0;0,06;2;1;0;0;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;0;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;;;;;;;;
09/09/2024 7:03:58;09/09/2024 7:03:58;36,952161833;-6,0881595;0;0,08;2;1;0;0;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;0;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;;;;;;;;
09/09/2024 7:04:08;09/09/2024 7:04:08;36,9521595;-6,088159666;0;0,07;2;1;0;0;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;0;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;;;;;;;;
09/09/2024 7:04:18;09/09/2024 7:04:18;36,952158333;-6,088159166;0;0,04;2;1;0;0;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;0;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;;;;;;;;
09/09/2024 7:04:28;09/09/2024 7:04:28;36,952159166;-6,088158166;0;0,06;2;1;0;0;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;-1;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;;;;;;;;
09/09/2024 7:04:38;09/09/2024 7:04:38;36,952162;-6,088157833;0;0,11;2;1;200;1725858276;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;0;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;;;;;;;;
09/09/2024 7:04:48;09/09/2024 7:04:48;36,952164333;-6,088157333;0;0,06;2;1;200;1725858276;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;-1;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;;;;;;;;
09/09/2024 7:04:59;09/09/2024 7:04:59;36,952167666;-6,088157166;0;0,10;2;1;200;1725858276;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;0;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;;;;;;;;
09/09/2024 7:05:09;09/09/2024 7:05:09;36,952169166;-6,088159;0;0,05;2;1;200;1725858276;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;0;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;;;;;;;;
09/09/2024 7:05:19;09/09/2024 7:05:19;36,9521685;-6,088162;0;0,24;2;1;200;1725858276;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;0;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;;;;;;;;
09/09/2024 7:05:29;09/09/2024 7:05:29;36,952168166;-6,0881655;0;0,03;2;1;200;1725858276;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;-1;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;0;12;0,0;1021,5;0;1021,5;8,85;115,4
09/09/2024 7:05:39;09/09/2024 7:05:39;36,952167333;-6,088166166;0;0,06;2;1;200;1725858336;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;0;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;0;12;0,0;1021,5;0;1021,5;8,85;115,4
09/09/2024 7:05:50;09/09/2024 7:05:50;36,952168166;-6,088165333;0;0,05;2;1;200;1725858336;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;-1;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;0;12;0,0;1021,5;0;1021,5;8,85;115,4
09/09/2024 7:06:02;09/09/2024 7:06:02;36,952167833;-6,088163833;0;0,02;2;1;200;1725858336;0,0;0,0;GPS Fijo (SPS);1;0,0;0;0;-1;-1;1;14;1;1;9;693;312,4;Encendido;Encendido;Conectado, parado;0;12;0,0;1021,5;0;1021,5;8,85;115,4
